Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,W,L,W-L%,ERA,ERA+,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Vern Law,0,32.4,28.2,30.3,16,1950,1967,2,162,147,0.524,3.77,101,483,364,78,119,28,13,2672,2833,1274,1118,268,597,74,1092,40,3,39,11231
Lew Burdette,0,28.8,24,26.4,18,1950,1967,3,203,144,0.585,3.66,99,626,373,128,158,33,32,3067.1,3186,1400,1246,289,628,63,1074,56,7,23,12745
Robin Roberts,1,86,54.9,70.5,19,1948,1966,7,286,245,0.539,3.41,113,676,609,49,305,45,25,4688.2,4582,1962,1774,505,902,69,2357,54,3,33,19174
Sandy Koufax,1,49,46.1,47.5,12,1955,1966,7,165,87,0.655,2.76,131,397,314,44,137,40,9,2324.1,1754,806,713,204,817,48,2396,18,7,87,9497
Warren Spahn,1,99.9,51.4,75.6,21,1942,1965,17,363,245,0.597,3.09,119,750,665,67,382,63,28,5243.2,4830,2016,1798,434,1434,60,2583,42,5,81,21547
Harvey Haddix,0,33.2,26.7,29.9,14,1952,1965,3,136,113,0.546,3.63,108,453,286,84,99,20,20,2235,2154,1012,901,240,601,77,1575,43,3,58,9330
Billy Pierce,0,53.2,37.6,45.4,18,1945,1964,7,211,169,0.555,3.27,119,585,433,85,193,38,33,3306.2,2989,1325,1201,284,1178,35,1999,30,10,48,13853
Early Wynn,1,61.1,38.6,49.8,23,1939,1963,9,300,244,0.551,3.54,107,691,611,67,289,49,16,4564,4291,2037,1796,338,1775,36,2334,64,2,51,19408
Ned Garver,0,43,35.2,39.1,14,1948,1961,1,129,157,0.451,3.73,112,402,330,40,153,18,12,2477.1,2471,1184,1027,213,881,25,881,41,7,49,10584
Don Newcombe,0,38,35.1,36.5,10,1949,1960,4,149,90,0.623,3.56,114,344,294,34,136,24,7,2154.2,2102,956,852,252,490,21,1129,30,3,22,8891
Bob Lemon,1,48.2,38.8,43.5,15,1941,1958,7,207,128,0.618,3.23,119,460,350,73,188,31,22,2850,2559,1185,1024,180,1251,13,1277,57,2,63,12099
Sal Maglie,0,30.9,27.7,29.3,10,1945,1958,2,119,62,0.657,3.15,127,303,232,35,93,25,14,1723,1591,684,603,169,562,8,862,44,7,18,7182
Hal Newhouser,0,63.3,52.8,58,17,1939,1955,7,207,150,0.58,3.06,130,488,374,79,212,33,26,2993,2674,1197,1016,136,1249,1,1796,19,7,65,12648
Johnny Sain,0,29.2,30.9,30.1,11,1942,1955,3,139,116,0.545,3.49,107,412,245,125,140,16,53,2125.2,2145,947,824,179,619,4,910,30,6,20,8998
Eddie Lopat,0,32.2,27.2,29.7,12,1944,1955,1,166,112,0.597,3.21,116,340,318,14,164,27,3,2439.1,2464,1008,869,179,650,5,859,43,6,16,10197
Ewell Blackwell,0,26.2,26.5,26.3,10,1942,1955,6,82,78,0.513,3.3,120,236,169,49,69,15,11,1321,1150,562,484,67,562,0,839,44,2,28,5576
Preacher Roe,0,30.1,30.7,30.4,12,1938,1954,5,127,84,0.602,3.43,116,333,261,42,101,17,10,1914.1,1907,799,730,199,504,0,956,17,1,15,7904
Allie Reynolds,0,25.5,20.9,23.2,13,1942,1954,6,182,107,0.63,3.3,109,434,309,97,137,36,48,2492.1,2193,1026,915,133,1261,0,1423,57,6,59,10660
Bobo Newsom,0,47.9,36.7,42.3,20,1929,1953,4,211,222,0.487,3.98,107,600,483,71,246,31,21,3759.1,3769,1908,1664,206,1732,0,2082,61,7,60,16467
Dutch Leonard,0,48.8,32.7,40.7,20,1933,1953,5,191,181,0.513,3.25,119,640,375,171,192,30,45,3218.1,3304,1432,1162,158,737,0,1170,56,6,97,13487
Harry Brecheen,0,42.5,32.8,37.7,12,1940,1953,2,133,92,0.591,2.92,133,318,240,53,125,25,18,1907.2,1731,701,618,116,536,0,901,37,5,18,7821
Johnny Vander Meer,0,25.3,24.7,25,13,1937,1951,4,119,121,0.496,3.44,107,346,286,28,131,29,2,2104.2,1799,915,805,100,1132,0,1294,21,3,37,9034
Bucky Walters,0,53.3,42.8,48.1,19,1931,1950,6,198,160,0.553,3.3,116,428,398,18,242,42,4,3104.2,2990,1343,1139,155,1121,0,1107,51,6,63,13140
Schoolboy Rowe,0,43,36,39.5,15,1933,1949,3,158,101,0.61,3.87,110,382,278,74,137,22,12,2219.1,2332,1075,955,131,558,0,913,27,5,22,9398
Mort Cooper,0,32.8,31.7,32.2,11,1938,1949,4,128,75,0.631,2.97,124,295,239,39,128,33,15,1840.2,1666,703,607,84,571,0,913,28,7,28,7648
Red Ruffing,1,68.7,40.3,54.5,22,1924,1947,6,273,225,0.548,3.8,109,624,538,69,335,45,18,4344,4284,2115,1833,254,1541,0,1987,58,7,46,18546
Mel Harder,0,44.5,38,41.2,20,1928,1947,4,223,186,0.545,3.8,113,582,433,94,181,25,24,3426.1,3706,1714,1447,161,1118,0,1161,59,2,33,14861
Tommy Bridges,0,50.9,35,43,16,1930,1946,6,194,138,0.584,3.57,126,424,362,47,200,33,10,2826.1,2675,1321,1122,181,1192,0,1674,35,8,59,12165
