Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+
Andres Galarraga,0,31.7,26.4,29.1,19,1985,2004,5,2257,8916,8096,1195,2333,444,32,399,1425,128,81,583,2003,0.288,0.347,0.499,0.846,119
David Segui,0,10.4,13.7,12.1,15,1990,2004,0,1456,5451,4847,683,1412,284,16,139,684,17,19,524,687,0.291,0.359,0.443,0.802,110
Eric Karros,0,10.4,13.6,12,14,1991,2004,0,1755,7100,6441,797,1724,324,11,284,1027,59,30,552,1167,0.268,0.325,0.454,0.779,107
Mark Grace,0,46.4,29.7,38,16,1988,2003,3,2245,9290,8065,1179,2445,511,45,173,1146,70,48,1075,642,0.303,0.383,0.442,0.825,119
Mo Vaughn,0,27.2,27.1,27.1,12,1991,2003,3,1512,6410,5532,861,1620,270,10,328,1064,30,18,725,1429,0.293,0.383,0.523,0.906,132
Mark McGwire,0,62.2,41.9,52,16,1986,2001,12,1874,7660,6187,1167,1626,252,6,583,1414,12,8,1317,1596,0.263,0.394,0.588,0.982,163
Wally Joyner,0,35.8,23.6,29.7,16,1986,2001,1,2033,8115,7127,973,2060,409,26,204,1106,60,39,833,825,0.289,0.362,0.44,0.802,117
Will Clark,0,56.5,36.1,46.3,15,1986,2000,6,1976,8283,7173,1186,2176,440,47,284,1205,67,48,937,1190,0.303,0.384,0.497,0.88,137
Gregg Jefferies,0,19.6,16.2,17.9,14,1987,2000,2,1465,6072,5520,761,1593,300,27,126,663,196,63,472,348,0.289,0.344,0.421,0.765,107
Hal Morris,0,13.4,13.5,13.4,13,1988,2000,0,1246,4443,3998,535,1216,246,21,76,513,45,24,356,548,0.304,0.361,0.433,0.794,111
Cecil Fielder,0,17.2,17.4,17.3,13,1985,1998,3,1470,5939,5157,744,1313,200,7,319,1008,2,6,693,1316,0.255,0.345,0.482,0.827,119
Eddie Murray,1,68.7,39.1,53.9,21,1977,1997,8,3026,12817,11336,1627,3255,560,35,504,1917,110,43,1333,1516,0.287,0.359,0.476,0.836,129
Don Mattingly,0,42.4,35.7,39.1,14,1982,1995,6,1785,7722,7003,1007,2153,442,20,222,1099,14,9,588,444,0.307,0.358,0.471,0.83,127
John Kruk,0,25.1,22.8,23.9,10,1986,1995,3,1200,4603,3897,582,1170,199,34,100,592,58,31,649,701,0.3,0.397,0.446,0.842,134
Kent Hrbek,0,38.6,27.5,33.1,14,1981,1994,1,1747,7137,6192,903,1749,312,18,293,1086,37,26,838,798,0.282,0.367,0.481,0.848,128
Keith Hernandez,0,60.4,41.3,50.8,17,1974,1990,5,2088,8553,7370,1124,2182,426,60,162,1071,98,63,1070,1012,0.296,0.384,0.436,0.821,128
Bill Buckner,0,15.1,16.4,15.8,22,1969,1990,1,2517,10037,9397,1077,2715,498,49,174,1208,183,73,450,453,0.289,0.321,0.408,0.729,100
